codi,comarca,espanyola,resta_ue,resta_d'europa,africa,america_del_nord_i_central,america_del_sud,asia_i_oceania,total,espanyola_pct,espanyola_ratio,resta_ue_pct,resta_ue_ratio,resta_d'europa_pct,resta_d'europa_ratio,africa_pct,africa_ratio,america_del_nord_i_central_pct,america_del_nord_i_central_ratio,america_del_sud_pct,america_del_sud_ratio,asia_i_oceania_pct,asia_i_oceania_ratio,any
22,montsia,56592,5746,948,2851,300,1172,914,68523,82.59,0.825883280066547,8.39,0.0838550559666097,1.38,0.0138347708068823,4.16,0.0416064679012886,0.44,0.0043780920274944,1.71,0.0171037461874115,1.33,0.0133385870437663,2021
23,noguera,32050,2727,284,3195,95,595,197,39143,81.88,0.8187926321436783,6.97,0.0696676289502593,0.73,0.0072554479728176,8.16,0.0816237896941982,0.24,0.0024269984416115,1.52,0.0152006744500932,0.5,0.0050328283473417,2021
24,osona,137199,3585,953,15186,1000,2624,3320,163867,83.73,0.8372582643241165,2.19,0.0218774982150158,0.58,0.0058156919941171,9.27,0.0926727162882093,0.61,0.0061025099623475,1.6,0.0160129861411998,2.03,0.0202603330749937,2021
25,pallars jussa,11269,657,126,564,122,326,48,13112,85.94,0.8594417327638804,5.01,0.0501067724222086,0.96,0.0096095179987797,4.3,0.0430140329469188,0.93,0.0093044539353264,2.49,0.024862721171446,0.37,0.0036607687614399,2021
26,pallars sobira,6415,391,32,84,39,131,24,7116,90.15,0.9014896008993816,5.49,0.054946599213041,0.45,0.0044969083754918,1.18,0.0118043844856661,0.55,0.0054806070826306,1.84,0.0184092186621697,0.34,0.0033726812816188,2021
27,pla d'urgell,29699,3010,271,3502,88,451,179,37200,79.84,0.7983602150537634,8.09,0.0809139784946236,0.73,0.0072849462365591,9.41,0.0941397849462365,0.24,0.0023655913978494,1.21,0.0121236559139784,0.48,0.0048118279569892,2021
28,pla de l'estany,27919,973,240,2311,568,509,297,32817,85.07,0.8507480878812811,2.96,0.0296492671481244,0.73,0.0073132827497943,7.04,0.0704208184782277,1.73,0.0173081025078465,1.55,0.0155102538318554,0.91,0.0090501874028704,2021
29,priorat,8172,458,117,382,39,105,10,9283,88.03,0.8803188624367123,4.93,0.0493374986534525,1.26,0.0126036841538295,4.12,0.0411504901432726,0.42,0.0042012280512765,1.13,0.0113109985995906,0.11,0.0010772379618657,2021
30,ribera d'ebre,18287,1169,740,1274,65,146,218,21899,83.51,0.8350609616877483,5.34,0.0533814329421434,3.38,0.0337914973286451,5.82,0.0581761724279647,0.3,0.0029681720626512,0.67,0.0066669710945705,1.0,0.0099547924562765,2021
31,ripolles,22830,418,130,1110,303,486,171,25448,89.71,0.8971235460546998,1.64,0.0164256523105941,0.51,0.0051084564602326,4.36,0.0436183590066017,1.19,0.0119066331342345,1.91,0.019097767997485,0.67,0.0067195850361521,2021
32,segarra,16940,2237,1391,2366,93,320,108,23455,72.22,0.722234065231294,9.54,0.0953741206565764,5.93,0.05930505222767,10.09,0.1008740140694947,0.4,0.0039650394372202,1.36,0.0136431464506501,0.46,0.0046045619270944,2021
33,segria,170037,12213,1707,18662,1256,4369,2459,210703,80.7,0.8069984765285734,5.8,0.0579631044645781,0.81,0.0081014508573679,8.86,0.0885701674869366,0.6,0.0059609972330721,2.07,0.020735347859309,1.17,0.0116704555701627,2021
34,selva,140089,10018,5658,9335,2362,3960,3913,175335,79.9,0.7989790971568711,5.71,0.0571363390081843,3.23,0.0322696552314141,5.32,0.0532409387743462,1.35,0.01347135483503,2.26,0.0225853366412866,2.23,0.0223172783528673,2021
35,solsones,12130,618,81,592,55,129,43,13648,88.88,0.8887749120750293,4.53,0.0452813599062133,0.59,0.0059349355216881,4.34,0.0433763188745603,0.4,0.0040298944900351,0.95,0.0094519343493552,0.32,0.0031506447831184,2021
36,tarragones,215057,10563,4364,17295,1929,8929,4731,262868,81.81,0.818117838611014,4.02,0.0401836663268256,1.66,0.0166014881994004,6.58,0.0657934780954699,0.73,0.007338283853493,3.4,0.0339676187287916,1.8,0.0179976261850054,2021
37,terra alta,9941,979,120,93,81,72,119,11405,87.16,0.8716352476983779,8.58,0.0858395440596229,1.05,0.0105217010083296,0.82,0.0081543182814555,0.71,0.0071021481806225,0.63,0.0063130206049978,1.04,0.0104340201665935,2021
38,urgell,30174,2331,655,3270,156,466,187,37239,81.03,0.8102795456376379,6.26,0.062595665834206,1.76,0.0175890867101694,8.78,0.087811165713365,0.42,0.0041891565294449,1.25,0.0125137624533419,0.5,0.0050216171218346,2021
39,aran,8637,882,107,261,95,339,40,10361,83.36,0.8336067947109352,8.51,0.085126918251134,1.03,0.0103271884953189,2.52,0.0251906186661519,0.92,0.0091689991313579,3.27,0.0327188495318984,0.39,0.0038606312132033,2021
40,valles occidental,829649,18188,5903,34127,10991,26858,11670,937386,88.51,0.8850665574267165,1.94,0.0194028927250887,0.63,0.006297299084902,3.64,0.0364065603710744,1.17,0.0117251591126814,2.87,0.0286520174186514,1.24,0.0124495138608854,2021
41,valles oriental,376778,6808,2514,14896,2722,8200,3397,415315,90.72,0.9072101898558924,1.64,0.0163923768705681,0.61,0.0060532366998543,3.59,0.0358667517426531,0.66,0.0065540613751008,1.97,0.0197440496972177,0.82,0.0081793337587132,2021
42,moianes,12893,286,91,317,72,307,253,14219,90.67,0.9067444968000564,2.01,0.0201139320627329,0.64,0.0063998874745059,2.23,0.0222941135100921,0.51,0.0050636472325761,2.16,0.0215908291722343,1.78,0.0177930937478022,2021
01,alt camp,38847,1210,482,2978,226,666,286,44695,86.92,0.8691576238952903,2.71,0.0270723794607897,1.08,0.0107842040496699,6.66,0.066629376887795,0.51,0.0050564940149904,1.49,0.0149009956370958,0.64,0.0063989260543684,2020
02,alt emporda,107462,11632,2100,13631,2441,4235,1123,142624,75.35,0.7534636526811757,8.16,0.0815571011891406,1.47,0.0147240296163338,9.56,0.0955729750953556,1.71,0.0171149315683195,2.97,0.0296934597262732,0.79,0.0078738501234013,2020
03,alt penedes,97269,1906,652,6362,681,1935,801,109606,88.74,0.887442293305111,1.74,0.01738955896575,0.59,0.0059485794573289,5.8,0.0580442676495812,0.62,0.0062131635129463,1.77,0.0176541430213674,0.73,0.0073079940879148,2020
04,alt urgell,17692,1004,217,400,173,623,122,20231,87.45,0.8744995304236073,4.96,0.0496268103405664,1.07,0.0107261133903415,1.98,0.019771637585883,0.86,0.0085512332558944,3.08,0.0307943255400128,0.6,0.0060303494636943,2020
05,alta ribagorca,3357,169,55,132,28,77,7,3825,87.76,0.8776470588235294,4.42,0.0441830065359477,1.44,0.0143790849673202,3.45,0.0345098039215686,0.73,0.0073202614379084,2.01,0.0201307189542483,0.18,0.0018300653594771,2020
06,anoia,111579,1957,579,5765,623,1552,969,123024,90.7,0.9069693718298868,1.59,0.0159074652100403,0.47,0.0047063987514631,4.69,0.0468607751333073,0.51,0.0050640525425933,1.26,0.012615424632592,0.79,0.007876511900117,2020
07,bages,157832,4001,1293,11091,1524,3087,1747,180575,87.41,0.8740523328256957,2.22,0.022156998477087,0.72,0.0071604596428076,6.14,0.0614204624117402,0.84,0.0084397064931468,1.71,0.0170953897272601,0.97,0.0096746504222622,2020
08,baix camp,161591,9501,2366,12509,1243,5221,1696,194127,83.24,0.8323983783811628,4.89,0.048942187330974,1.22,0.012187897613418,6.44,0.064437198328929,0.64,0.0064030248239554,2.69,0.0268947647673945,0.87,0.008736548754166,2020
09,baix ebre,64683,4517,993,4771,480,950,1617,78011,82.92,0.8291522990347515,5.79,0.0579020907307943,1.27,0.0127289741190344,6.12,0.0611580418146158,0.62,0.0061529784261193,1.22,0.0121777698016946,2.07,0.0207278460729897,2020
10,baix emporda,108368,7398,3218,11290,2369,2194,968,135805,79.8,0.7979676742387983,5.45,0.0544751665991679,2.37,0.0236957402157505,8.31,0.0831339052317661,1.74,0.0174441294503147,1.62,0.0161555171017267,0.71,0.0071278671624756,2020
11,baix llobregat,743134,21812,5600,23196,7270,22132,11509,834653,89.04,0.8903508404091282,2.61,0.0261330157562484,0.67,0.0067093750336966,2.78,0.0277911898717191,0.87,0.0087102065169597,2.65,0.0265164086153167,1.38,0.0137889637969311,2020
12,baix penedes,91010,4435,1237,6149,887,3122,963,107803,84.42,0.8442251143289148,4.11,0.041139856961309,1.15,0.0114746342866154,5.7,0.0570392289639434,0.82,0.0082279713922618,2.9,0.028960233017634,0.89,0.0089329610493214,2020
13,barcelones,1827965,117616,31972,44766,55597,117439,119265,2314620,78.97,0.7897473451365667,5.08,0.0508143885389394,1.38,0.0138130665076772,1.93,0.0193405396998211,2.4,0.0240199255169315,5.07,0.0507379181031875,5.15,0.0515268164968763,2020
14,bergueda,36035,955,191,1467,325,747,260,39980,90.13,0.9013256628314156,2.39,0.0238869434717358,0.48,0.0047773886943471,3.67,0.0366933466733366,0.81,0.0081290645322661,1.87,0.0186843421710855,0.65,0.0065032516258129,2020
15,cerdanya,15649,776,282,371,219,1142,86,18525,84.48,0.8447503373819163,4.19,0.0418893387314439,1.52,0.0152226720647773,2.0,0.0200269905533063,1.18,0.0118218623481781,6.16,0.0616464237516869,0.46,0.0046423751686909,2020
16,conca de barbera,17601,766,251,929,70,161,169,19947,88.24,0.8823883290720409,3.84,0.0384017646763924,1.26,0.0125833458665463,4.66,0.0465734195618388,0.35,0.0035092996440567,0.81,0.0080713891813305,0.85,0.0084724519977941,2020
17,garraf,130633,9998,1416,3587,1401,4237,1529,152801,85.49,0.8549224154292184,6.54,0.0654315089560932,0.93,0.0092669550591946,2.35,0.0234749772580022,0.92,0.0091687881623811,2.77,0.0277288761199206,1.0,0.0100064790151896,2020
18,garrigues,16292,1257,70,1042,54,113,45,18873,86.32,0.8632437874211837,6.66,0.0666030837704657,0.37,0.0037090022783871,5.52,0.0552111482011338,0.29,0.0028612303290414,0.6,0.0059873893922534,0.24,0.0023843586075345,2020
19,garrotxa,48777,1883,691,2514,1228,860,2667,58620,83.21,0.8320880245649949,3.21,0.0321221426134425,1.18,0.0117877857386557,4.29,0.0428863868986693,2.09,0.020948481746844,1.47,0.0146707608324803,4.55,0.045496417604913,2020
20,girones,155500,7029,1893,16988,8401,4191,3102,197104,78.89,0.7889236139297021,3.57,0.0356613767351246,0.96,0.0096040668885461,8.62,0.0861880022729117,4.26,0.0426221690072246,2.13,0.0212628865979381,1.57,0.0157378845685526,2020
21,maresme,401357,11957,3709,22549,3549,9220,6285,458626,87.51,0.8751291902334364,2.61,0.0260713522565227,0.81,0.0080871995918242,4.92,0.0491664231857766,0.77,0.0077383314508989,2.01,0.0201035266208195,1.37,0.0137039766607213,2020
